dataset_uuid,Cell Ontology ID,Cell Type,Count,Total Count,Percentage
1dc16eb0270ff73291dd45b6a96aa3c0,CL:4030014,Kidney.kidney loop of Henle long descending thin limb inner medulla epithelial cell,3,2981,0.1
1dc16eb0270ff73291dd45b6a96aa3c0,CL:0002201,Kidney.renal beta-intercalated cell,2,2981,0.07
1dc16eb0270ff73291dd45b6a96aa3c0,CL:0000875,Kidney.non-classical monocyte,2,2981,0.07
1dc16eb0270ff73291dd45b6a96aa3c0,CL:0002573,Kidney.Schwann cell,1,2981,0.03
8d631eee88855ac59155edca2a3bc1ca,CL:1001318,Kidney.renal interstitial pericyte,1200,3000,40.0
8d631eee88855ac59155edca2a3bc1ca,CL:1000718,Kidney.kidney inner medulla collecting duct principal cell,517,3000,17.23
8d631eee88855ac59155edca2a3bc1ca,CL:0000057,Kidney.kidney interstitial fibroblast,513,3000,17.1
8d631eee88855ac59155edca2a3bc1ca,CL:4030022,Kidney.renal medullary fibroblast,441,3000,14.7
8d631eee88855ac59155edca2a3bc1ca,CL:1000597,Kidney.papillary tips cell,158,3000,5.27
8d631eee88855ac59155edca2a3bc1ca,CL:1000698,Kidney.kidney resident macrophage,62,3000,2.07
8d631eee88855ac59155edca2a3bc1ca,CL:1001033,Kidney.peritubular capillary endothelial cell,51,3000,1.7
8d631eee88855ac59155edca2a3bc1ca,CL:1001285,Kidney.vasa recta descending limb cell,17,3000,0.57
8d631eee88855ac59155edca2a3bc1ca,CL:1000412,Kidney.endothelial cell of arteriole,16,3000,0.53
8d631eee88855ac59155edca2a3bc1ca,CL:1000452,Kidney.parietal epithelial cell,11,3000,0.37
8d631eee88855ac59155edca2a3bc1ca,CL:0000084,Kidney.T cell,7,3000,0.23
8d631eee88855ac59155edca2a3bc1ca,CL:1001005,Kidney.glomerular capillary endothelial cell,2,3000,0.07
8d631eee88855ac59155edca2a3bc1ca,CL:0002138,Kidney.endothelial cell of lymphatic vessel,2,3000,0.07
8d631eee88855ac59155edca2a3bc1ca,CL:0002573,Kidney.Schwann cell,1,3000,0.03
8d631eee88855ac59155edca2a3bc1ca,CL:4030012,Kidney.kidney loop of Henle short descending thin limb epithelial cell,1,3000,0.03
8d631eee88855ac59155edca2a3bc1ca,CL:0000653,Kidney.podocyte,1,3000,0.03
f220c9e7bcaea3a87162cbe61287ea4d,CL:1000597,Kidney.papillary tips cell,8202,15994,51.28
f220c9e7bcaea3a87162cbe61287ea4d,CL:4030022,Kidney.renal medullary fibroblast,1509,15994,9.43
f220c9e7bcaea3a87162cbe61287ea4d,CL:0000057,Kidney.kidney interstitial fibroblast,959,15994,6.0
f220c9e7bcaea3a87162cbe61287ea4d,CL:1000768,Kidney.kidney connecting tubule epithelial cell,910,15994,5.69
f220c9e7bcaea3a87162cbe61287ea4d,CL:1000698,Kidney.kidney resident macrophage,880,15994,5.5
f220c9e7bcaea3a87162cbe61287ea4d,CL:1000714,Kidney.kidney cortex collecting duct principal cell,819,15994,5.12
f220c9e7bcaea3a87162cbe61287ea4d,CL:1000715,Kidney.kidney cortex collecting duct intercalated cell,591,15994,3.7
f220c9e7bcaea3a87162cbe61287ea4d,CL:1001318,Kidney.renal interstitial pericyte,537,15994,3.36
f220c9e7bcaea3a87162cbe61287ea4d,CL:1000718,Kidney.kidney inner medulla collecting duct principal cell,329,15994,2.06
f220c9e7bcaea3a87162cbe61287ea4d,CL:1001033,Kidney.peritubular capillary endothelial cell,296,15994,1.85
f220c9e7bcaea3a87162cbe61287ea4d,CL:0000875,Kidney.non-classical monocyte,259,15994,1.62
f220c9e7bcaea3a87162cbe61287ea4d,CL:0000653,Kidney.podocyte,153,15994,0.96
f220c9e7bcaea3a87162cbe61287ea4d,CL:1001285,Kidney.vasa recta descending limb cell,115,15994,0.72
f220c9e7bcaea3a87162cbe61287ea4d,CL:0000650,Kidney.mesangial cell,109,15994,0.68
f220c9e7bcaea3a87162cbe61287ea4d,CL:1000412,Kidney.endothelial cell of arteriole,98,15994,0.61
f220c9e7bcaea3a87162cbe61287ea4d,CL:4030012,Kidney.kidney loop of Henle short descending thin limb epithelial cell,49,15994,0.31
f220c9e7bcaea3a87162cbe61287ea4d,CL:0000775,Kidney.neutrophil,48,15994,0.3
f220c9e7bcaea3a87162cbe61287ea4d,CL:0011031,Kidney.monocyte-derived dendritic cell,35,15994,0.22
f220c9e7bcaea3a87162cbe61287ea4d,CL:0002138,Kidney.endothelial cell of lymphatic vessel,35,15994,0.22
