id_namespace	local_id	project_id_namespace	project_local_id	persistent_id	creation_time	size_in_bytes	uncompressed_size_in_bytes	sha256	md5	filename	file_format	compression_format	data_type	assay_type	analysis_type	mime_type	bundle_collection_id_namespace	bundle_collection_local_id	dbgap_study_id
tag:motrpac-data.org,2023:	pass1b-06/epigenomics/t52-hippocampus/atac-seq/bam/90292015204_R1.trim.bam	tag:motrpac-data.org,2023:	motrpac	8fc9063d-655f-57a2-afb6-227bb7bd2f5f		3890036436		5bc5abbfe40ca9345f6c2c61cf77ded87637efd3a1c6529dd304b8306bef0774		90292015204_R1.trim.bam				OBI:0003089		application/octet-stream			
tag:motrpac-data.org,2023:	pass1b-06/epigenomics/t52-hippocampus/atac-seq/bam/90406015204_R1.trim.bam	tag:motrpac-data.org,2023:	motrpac	5528c662-8b67-5a51-accb-415f80b5d00d		4467268537		3cd296a56ace14f62008d24ae6fb5836dfddf72639714c2cfdfbb2c79163bbee		90406015204_R1.trim.bam				OBI:0003089		application/octet-stream			
tag:motrpac-data.org,2023:	pass1b-06/epigenomics/t52-hippocampus/atac-seq/bam/90410015204_R1.trim.bam	tag:motrpac-data.org,2023:	motrpac	913360d9-5e29-5e94-995f-456bca4ec37c		4828359659		32d28c7202c636dc5a6e63e56b8b1d0984a10eb6c44a9436abb16aa2a214b831		90410015204_R1.trim.bam				OBI:0003089		application/octet-stream			
tag:motrpac-data.org,2023:	pass1b-06/epigenomics/t52-hippocampus/atac-seq/bam/90412015204_R1.trim.bam	tag:motrpac-data.org,2023:	motrpac	ca7505c7-543f-5f77-bb6c-47fb781f6273		3312334718		442c9507ce3e6c3bbf8ddff0034e8c185d713f243d49e91d104445f8532edfa5		90412015204_R1.trim.bam				OBI:0003089		application/octet-stream			
tag:motrpac-data.org,2023:	pass1b-06/epigenomics/t52-hippocampus/atac-seq/bam/90416015204_R1.trim.bam	tag:motrpac-data.org,2023:	motrpac	6d40c005-cbfc-56af-9339-ea5cde43c6a8		3293193679		7bc5d8f4ef2cbabc697fbe824b22fa1e74d9e0000ad788ad7d0678de0936f5b5		90416015204_R1.trim.bam				OBI:0003089		application/octet-stream			
tag:motrpac-data.org,2023:	pass1b-06/epigenomics/t52-hippocampus/atac-seq/bam/90420015204_R1.trim.bam	tag:motrpac-data.org,2023:	motrpac	42953c25-9ba9-5e67-8bf6-751fe519e014		4106681796		7c16eee2217107cd34d6259446b008a1ba77d5f24c92f14119555d0bd413d834		90420015204_R1.trim.bam				OBI:0003089		application/octet-stream			
tag:motrpac-data.org,2023:	pass1b-06/epigenomics/t52-hippocampus/atac-seq/bam/90421015204_R1.trim.bam	tag:motrpac-data.org,2023:	motrpac	98cee022-7052-5e4b-b102-9977c7087382		3977225730		c06995bd0e2932818472c094a8424c20ba5b521edd122071755ace83b10056a9		90421015204_R1.trim.bam				OBI:0003089		application/octet-stream			
tag:motrpac-data.org,2023:	pass1b-06/epigenomics/t52-hippocampus/atac-seq/bam/90422015204_R1.trim.bam	tag:motrpac-data.org,2023:	motrpac	a23e7256-48bb-57a3-b062-3dfb849b6c9a		4052142067		4de173f5560007b7dac584fe29c3a24a7274da8fabb638e7730f05cfdfb71c06		90422015204_R1.trim.bam				OBI:0003089		application/octet-stream			
tag:motrpac-data.org,2023:	pass1b-06/epigenomics/t52-hippocampus/atac-seq/bam/90423015204_R1.trim.bam	tag:motrpac-data.org,2023:	motrpac	727688df-ca6a-5255-9925-e9dd2efd8529		5499435607		a1c9f03a46783d2078ff999b39602233354921c9ead792b74859a99e260d1c84		90423015204_R1.trim.bam				OBI:0003089		application/octet-stream			
tag:motrpac-data.org,2023:	pass1b-06/epigenomics/t52-hippocampus/atac-seq/bam/90426015204_R1.trim.bam	tag:motrpac-data.org,2023:	motrpac	17b8134f-6492-5ee8-8226-df3996012e26		4884857131		70909e96fbffd8e134d50772fb1070eb3a4b0083d12f87832f3894edabfa05db		90426015204_R1.trim.bam				OBI:0003089		application/octet-stream			
tag:motrpac-data.org,2023:	pass1b-06/epigenomics/t52-hippocampus/atac-seq/bam/90430015204_R1.trim.bam	tag:motrpac-data.org,2023:	motrpac	335b240b-037e-562a-bf21-0f0ca42b4c93		3714752862		8e1075c6c96ac970dc5bbafa28c8a789da9a5ebc253ca73d3083ad7014a20e71		90430015204_R1.trim.bam				OBI:0003089		application/octet-stream			
tag:motrpac-data.org,2023:	pass1b-06/epigenomics/t52-hippocampus/atac-seq/bam/90439015204_R1.trim.bam	tag:motrpac-data.org,2023:	motrpac	800224e5-7334-5f28-8c55-0edd94d94aa5		3534563092		fec8f334617f9d0cb21b4a74260b1c1d9d64a5f16af8f374d7c210f5ceefe7c4		90439015204_R1.trim.bam				OBI:0003089		application/octet-stream			
tag:motrpac-data.org,2023:	pass1b-06/epigenomics/t52-hippocampus/atac-seq/bam/90441015204_R1.trim.bam	tag:motrpac-data.org,2023:	motrpac	cfdc3447-e35e-51ab-a403-58474a415694		4128959630		0d8682c6dd0301eea329fb22ae535595d6483994d8ff5716284427602664454f		90441015204_R1.trim.bam				OBI:0003089		application/octet-stream			
